variant,metric,age,gender,income,pre_metric,post_metric
B,0.2974857413342393,26-35,Male,Medium,0.5371047686004653,0.49867971215205364
B,0.5186454314769428,18-25,Female,Medium,0.5149646290203246,0.5140080579409804
A,0.4338213535231612,26-35,Female,Low,0.56508706446994,0.45951982400391767
B,0.5852433334796224,18-25,Female,Medium,0.5780755598363426,0.5212030522232045
A,0.42074792615672996,46+,Female,High,0.5016002074532884,0.4763080326464542
B,0.4885263558533101,36-45,Male,High,0.4623291064826908,0.49927738645608605
A,0.5504987278980458,46+,Male,Medium,0.5229986071469558,0.527314212400185
B,0.5865755194170121,26-35,Female,Medium,0.46611423151239467,0.5003211134905469
B,0.37997035929442236,26-35,Male,Low,0.6006693623763312,0.4781807054736716
A,0.4665498764159052,46+,Female,Medium,0.5068267665541368,0.49451950980370846
A,0.45250546888390436,46+,Female,Low,0.48173392243439456,0.49558185203973326
A,0.43466707674262883,18-25,Male,Low,0.5092340152932454,0.4814994485058936
A,0.6765454240281097,26-35,Female,High,0.4326436855235152,0.48706019686664487
A,0.5404981710960955,26-35,Male,High,0.4514192980744674,0.5799323585252358
A,0.37391160456649547,46+,Male,High,0.5600206953972213,0.528045972397062
A,0.5917861947054777,36-45,Male,High,0.4671552860514302,0.485225984098542
A,0.7122156197012633,26-35,Male,Medium,0.447654450865903,0.5348477202255368
B,0.6032465260551148,36-45,Female,High,0.5268326376263643,0.4833090255121995
B,0.3480630034045986,46+,Male,Medium,0.5592852077331498,0.5586562318793321
A,0.45157659271337486,46+,Female,High,0.5359476655332533,0.5184821096099047
B,0.6266911149186623,18-25,Female,Medium,0.5498023842902908,0.49463489279978856
B,0.4292330534381219,26-35,Female,Low,0.46216024557152696,0.5223858462905139
B,0.5443819428146228,36-45,Female,Medium,0.4289094666629078,0.42145619239657506
B,0.5774634053429337,18-25,Male,Medium,0.5750666825977744,0.44366162655450975
A,0.4073069528421917,26-35,Male,High,0.4838660080578932,0.4403037496800472
B,0.49404746439381997,18-25,Female,Medium,0.4874583491772476,0.5071471547381854
A,0.17587326599309272,46+,Female,Low,0.5664097070924529,0.5866257499742547
B,0.397561235866571,26-35,Male,Low,0.527811500470033,0.6115650073096316
B,0.47474318486068395,18-25,Female,High,0.5227943886040803,0.5319025550720379
B,0.37522168180351506,18-25,Male,Low,0.6082501172450542,0.5250422237472229
A,0.6632411303931636,36-45,Female,Medium,0.46782408848099283,0.40994711329236305
B,0.3569858622039367,18-25,Male,Low,0.5463920064040618,0.47286631001329893
A,0.4559955513303016,26-35,Female,High,0.5028506562448543,0.46061081240458807
B,0.5130740577286091,26-35,Female,Medium,0.5134296139431629,0.4689576200874442
A,0.6441273289066116,36-45,Male,High,0.5764234213206266,0.49159280907076053
B,0.35641378488205605,26-35,Female,Medium,0.5253917878144811,0.47639547111514363
A,0.616316375215496,46+,Female,Low,0.5269148039524817,0.4010350094812106
A,0.5010233061019587,26-35,Male,High,0.5536253668654901,0.5373955128058767
B,0.4018491348952049,26-35,Female,High,0.4817523635228557,0.4463628487130097
A,0.5462103474263271,18-25,Male,Medium,0.45803951663304965,0.5119623432055574
B,0.519905969557347,18-25,Male,High,0.4477595402989483,0.6037041334874986
B,0.43997831228412054,26-35,Female,Medium,0.4016821705311999,0.45403077042067885
B,0.5069802084990019,36-45,Female,Medium,0.6028103564970161,0.37348562386268347
B,0.46146864031382395,18-25,Female,Medium,0.44483958171391585,0.48569978890599447
B,0.5113517345251248,36-45,Female,Medium,0.4889373188207114,0.5550479817499285
B,0.5662130674521046,26-35,Female,Low,0.48615933500555397,0.5979173727110297
B,0.6586016816145353,26-35,Female,Medium,0.515370334890455,0.43852252027737915
B,0.3762184501173151,46+,Female,High,0.5407868606269648,0.524834961161826
B,0.7133033374656267,18-25,Male,Low,0.5430236744179873,0.4767344771609973
B,0.30479122004774983,26-35,Female,High,0.47084612807155307,0.4947025822847932
B,0.4848214904964417,46+,Male,Low,0.49164391431067944,0.6322171673508518
A,0.5588317206484577,18-25,Female,Medium,0.514128997524415,0.42485148358024233
A,0.5280991867735033,26-35,Female,Low,0.48756544369082266,0.5126869830747287
B,0.43773004801794063,26-35,Male,Low,0.5803672788009997,0.5233846585882717
B,0.47918777496427245,18-25,Female,High,0.5245487475819126,0.5542893162469673
B,0.45069990653411673,18-25,Female,High,0.5367438893024908,0.5048991576735448
B,0.4410635243055788,18-25,Male,Medium,0.5331440634333706,0.5154025269752052
B,0.5849602097021025,26-35,Female,Low,0.5586736928742663,0.48041757162891047
B,0.5357015485965048,26-35,Female,Low,0.5090510779351853,0.5134563470622554
B,0.43070904047393455,46+,Female,Low,0.4351584026022077,0.4828403862251295
B,0.589959987543325,36-45,Male,Medium,0.519984397587632,0.5310785944928026
A,0.5307299520876609,18-25,Female,Medium,0.46743215531040855,0.4815194831978183
B,0.581286211883896,26-35,Female,Medium,0.47356916591251214,0.5188550196951093
A,0.5629628841923612,26-35,Female,Medium,0.5293182009377546,0.4985368593157511
B,0.41710049890779277,18-25,Female,Medium,0.5619141535716818,0.5563025125386084
B,0.443981895980303,36-45,Male,High,0.5010635788368031,0.4974303138205757
A,0.5747293605123261,18-25,Male,Low,0.5154416506299482,0.41134837658965595
B,0.5610370265433465,36-45,Female,Low,0.5851107472317619,0.5630960750356996
A,0.4979098406035852,26-35,Female,Low,0.5120376589744284,0.4547133849568691
B,0.5117327383308782,36-45,Male,Low,0.6300841557090198,0.467311683067559
B,0.6277664895788425,46+,Male,Low,0.5282754822815772,0.4702169352978254
A,0.440842861116417,26-35,Female,Low,0.4119618620422091,0.5687219046585409
B,0.5547097381170037,46+,Male,Low,0.5376670810552266,0.3932162893010652
A,0.4797807347566106,18-25,Female,Low,0.5190579192441389,0.6568874266829997
B,0.478231879677278,18-25,Male,High,0.5644876377041372,0.5528028404533026
A,0.609877685198719,18-25,Male,Low,0.5336590675634979,0.511161945706458
A,0.582541634898803,36-45,Male,High,0.4930772008008113,0.49725529996918566
B,0.5813509636000639,26-35,Male,Medium,0.4387850881855317,0.5142777037428828
B,0.6305478807154329,18-25,Female,Low,0.48954883713569874,0.526056121418967
A,0.502100384163276,18-25,Male,Medium,0.457473977289535,0.5322607792975028
B,0.5681952971294963,26-35,Male,Medium,0.47097382750976385,0.5277802233001724
B,0.4689733243406544,18-25,Female,Medium,0.5294289202210305,0.5044790340627624
B,0.5324166352488442,46+,Male,High,0.5834952252175704,0.4901330789846337
A,0.48698569456323154,26-35,Male,Medium,0.519733576491149,0.49243633581732443
A,0.5096995964992718,26-35,Female,Medium,0.44020584689824077,0.49025458598236593
A,0.5595157025436913,26-35,Male,Medium,0.522230133411007,0.5566885048433532
A,0.41817793167665274,46+,Female,Low,0.5598315743322826,0.5296778361140431
A,0.709238727568546,26-35,Female,Low,0.4695108547840309,0.352980568266786
A,0.3993982618500298,46+,Female,High,0.49329914166635414,0.532795038826488
A,0.3785811387212268,26-35,Female,High,0.5007344097364599,0.5097368097359387
A,0.6158110873500068,36-45,Male,Low,0.46075508434588797,0.4990645621777051
A,0.5791662693962936,18-25,Female,High,0.532414021692193,0.4805740773455557
B,0.5624119817052156,36-45,Male,Low,0.49395259256961094,0.5562056359993006
A,0.562834550926428,18-25,Male,Medium,0.5209766221953513,0.5473763231061429
B,0.49877532271530856,46+,Male,Medium,0.455625391109895,0.46135611660881953
B,0.41027456285141684,36-45,Male,High,0.4781270849838295,0.5203526143562267
B,0.5075804558193726,26-35,Male,Low,0.5361190678913885,0.4514171632729357
A,0.4322838288487888,18-25,Male,Low,0.48135834239541164,0.4310190917605535
A,0.5975119733417751,18-25,Male,High,0.5863481925616703,0.4686641387705017
A,0.48529426184978613,36-45,Male,Low,0.4800181907192699,0.5431196736191379
A,0.4174502803207488,46+,Male,Medium,0.5112342362875943,0.5476562522688043
B,0.46786141583470064,36-45,Male,High,0.5466295415936545,0.5256542710048646
A,0.5412931454275625,46+,Female,High,0.42908171335334844,0.5362547893423999
A,0.44362754471960253,46+,Female,Low,0.4119595594009612,0.525808914355748
A,0.41777796044335685,18-25,Female,High,0.42371718427149524,0.4679259202388524
A,0.5243687211491912,36-45,Male,Low,0.5631292051713591,0.5215961272336971
A,0.5244966571108722,36-45,Female,Low,0.4724070927053777,0.5400204762613842
B,0.44930568246288705,46+,Female,Low,0.6279099642834126,0.5377145664906787
A,0.45289616943816774,36-45,Female,Low,0.4717876200671306,0.5594456685737321
B,0.5232049937357637,26-35,Male,Low,0.5092275651598519,0.5354151923600532
A,0.35519156585026757,26-35,Male,High,0.5771054976283938,0.5175724103770791
B,0.3592536225623445,36-45,Male,Medium,0.6003046444079562,0.5535075119158214
A,0.4281555778747564,36-45,Male,Medium,0.6030751788318199,0.498673937037547
A,0.47865528482881525,46+,Female,High,0.5604183115296572,0.4559062674386141
B,0.5310907565598004,26-35,Female,High,0.5512031262905731,0.4918466518028118
B,0.6475356216949553,26-35,Female,Medium,0.5296263474600591,0.46275486775967756
B,0.585765962320202,18-25,Female,Medium,0.5389180538083319,0.4662410862512809
A,0.4840061470036573,46+,Male,Medium,0.4724407141835733,0.4927740664642241
B,0.4980983792097311,18-25,Male,Medium,0.4590900558288846,0.4603790039500019
A,0.39974706353621914,26-35,Male,Medium,0.4998312771294524,0.484601923518048
A,0.498148686400761,46+,Female,Low,0.4914907688737536,0.4053192666523107
B,0.47113413610798616,36-45,Male,High,0.4773385975336362,0.510664685368647
B,0.532271856033809,46+,Male,Low,0.5348193723728357,0.5000602737681112
A,0.4172769056447677,36-45,Female,Medium,0.5477652604285256,0.4591455684465905
A,0.5519346514241172,36-45,Female,Medium,0.5044203443145924,0.5329622834216202
B,0.6532738913002578,46+,Male,Medium,0.5738765040527631,0.5468785068813279
B,0.4891239851543142,36-45,Male,Low,0.44291554429332475,0.41962200678155126
B,0.5401711722098942,18-25,Male,Low,0.4903170270360141,0.4618637610716893
A,0.5690143991711113,26-35,Male,Medium,0.46415888396985977,0.4615428825106351
A,0.45987795281141636,36-45,Male,Low,0.406673169146347,0.4530048449445568
A,0.5224092481810417,18-25,Male,Low,0.49586596570786506,0.5414737420965874
A,0.5012592400781795,36-45,Female,Medium,0.49391262458083585,0.4903086930613598
A,0.5097676098548831,26-35,Female,Low,0.5756724871621066,0.4867742579344695
A,0.42269902161445333,18-25,Female,High,0.5315405842277389,0.39980688177966234
B,0.5024510174258943,26-35,Male,High,0.44879065878353974,0.5317709015104614
A,0.549799829124545,26-35,Female,High,0.5927046283167094,0.43803708025732635
A,0.6451143607795042,18-25,Male,High,0.5610516847762677,0.5029966315133164
A,0.5959270826085207,18-25,Male,Medium,0.5291048851734308,0.5138688468979096
B,0.7153182457511557,18-25,Female,Medium,0.4886757950575084,0.5680329297919325
A,0.42326524371119506,46+,Male,Medium,0.45202803816382603,0.43455898004404436
A,0.5872320636720678,18-25,Male,High,0.4813896611964473,0.34902439220895876
B,0.5183342005738352,18-25,Female,High,0.5544374309852093,0.5091924772376848
A,0.7189802933217673,18-25,Female,Low,0.5942293152967304,0.5900255590755427
A,0.4191701714644849,18-25,Female,Low,0.5771621764136095,0.5619473176469718
A,0.4160278157819224,36-45,Male,High,0.4755575289106863,0.5104829707637313
A,0.44006073545559776,46+,Female,High,0.44401912833554946,0.47541819071839764
A,0.28761042756901933,26-35,Female,High,0.5070443123455602,0.5403561298318655
B,0.4474244978319239,18-25,Male,High,0.4115780317218574,0.45132269001477654
B,0.4240867338446302,36-45,Female,Low,0.5161583857092391,0.523817888467811
B,0.5150393786476207,36-45,Female,High,0.4926198706850666,0.5252735079583314
A,0.5341755975777159,36-45,Female,Low,0.4766981749065879,0.553010495374944
A,0.6876170839215886,26-35,Male,High,0.4202648466366602,0.6379830019455539
A,0.595042383818605,18-25,Male,High,0.5256800053284858,0.5196207983589384
B,0.4423096344337597,46+,Male,High,0.4733649580169044,0.47455181871462504
A,0.4101585328651642,46+,Male,Low,0.4415041582144856,0.49872128439040025
A,0.5491919171506505,36-45,Female,Low,0.35638688933591756,0.4115462047555441
B,0.36797667929793576,26-35,Male,Medium,0.4986242547474682,0.46526434344554707
A,0.6831458765854354,26-35,Male,High,0.5886125798334872,0.4795358780943448
B,0.6179440120721287,26-35,Female,Medium,0.5830629607273935,0.4737955801032704
B,0.45308243478952953,46+,Female,Medium,0.47714518717068644,0.5076177436016861
B,0.3286865470909123,36-45,Female,Low,0.46988939698191096,0.45887900338088994
A,0.6353872374165412,18-25,Male,Low,0.5234387128037512,0.5560515333662236
A,0.4885460154747382,46+,Male,Medium,0.4500807280405854,0.5000103532459098
A,0.6237816311973462,36-45,Male,High,0.5150895949909733,0.4995349839430693
A,0.34055723412056327,36-45,Female,Low,0.5383040139192345,0.4836052641743541
A,0.4400624977046227,18-25,Female,High,0.5613466611942154,0.507759534192949
A,0.5005243699718183,18-25,Male,High,0.4949922961760024,0.5412549132333817
A,0.5046980593764742,18-25,Female,Medium,0.4898163124911517,0.45664348921445497
B,0.45499345285207565,26-35,Female,Medium,0.456100870662172,0.46709417554623717
A,0.5622849932347499,18-25,Female,Medium,0.45865598229800697,0.48481369856116674
B,0.3932379570617406,36-45,Male,Medium,0.48867605540492365,0.43270645382633927
A,0.48576205149787066,18-25,Female,Low,0.5183682753408089,0.4590371070139251
A,0.5120295631711899,36-45,Female,Low,0.5456792313116625,0.47618895632276703
A,0.5514438834058749,46+,Male,Medium,0.4598410524659827,0.5437194590356363
B,0.571161487808889,26-35,Male,Low,0.5746344284479761,0.5131280664500962
B,0.3875357908162131,46+,Female,Medium,0.48644381994787156,0.5096794955683772
B,0.3465885829264378,46+,Female,High,0.49893163528257817,0.5425448981083986
B,0.6277676821898509,36-45,Male,High,0.46263941604260883,0.4931314105800302
A,0.5332314011979592,46+,Male,High,0.3787879869863529,0.5195232424964444
B,0.42515134634434465,36-45,Female,Medium,0.5442022698180525,0.4948389123533752
A,0.6551151975522523,18-25,Female,High,0.5368421948546217,0.5132681174699815
A,0.5115674634292858,18-25,Female,Low,0.4859336221440893,0.4708620671194209
B,0.6179297184063827,36-45,Female,High,0.5033495358612436,0.3780591420861785
B,0.5067518481410109,18-25,Male,High,0.525796960885205,0.4932860418906848
B,0.7060747924881987,26-35,Female,High,0.4218727071556729,0.571137406804997
B,0.6755340842443205,46+,Female,Low,0.4735473661326853,0.5463107701120796
B,0.47510358515209267,26-35,Male,Medium,0.5397132339810914,0.5482698742295585
B,0.5971570950954356,46+,Female,Low,0.43728552884153754,0.5618065360903108
B,0.5645375949585147,18-25,Male,Medium,0.5146778966083314,0.5044328795480719
B,0.6368631557532349,26-35,Female,Medium,0.43217090976882977,0.5098657853702798
A,0.40350765394198956,18-25,Female,High,0.5233214991216764,0.4691174052282825
B,0.5686051459998439,46+,Male,Medium,0.4982179258851258,0.4841963571986475
B,0.6058424486849587,36-45,Male,Low,0.4192434092047245,0.5307885574885571
A,0.32412605135768857,36-45,Female,Low,0.5582369677228586,0.5601942218584408
B,0.3816741487334225,26-35,Female,Medium,0.46327042116009753,0.49302768621595
A,0.2960767822239899,18-25,Female,High,0.459487378149281,0.4774905367574294
A,0.47305931655554423,18-25,Male,High,0.5100284598615471,0.5000263979428299
B,0.5717542255795962,26-35,Female,Low,0.5574318674714358,0.5300603374464558
A,0.6502357052096028,36-45,Male,High,0.44920890905108013,0.4278072591933229
A,0.5074094780419776,46+,Male,Medium,0.5030839924923985,0.3851909523431381
A,0.6628615545571293,26-35,Female,Medium,0.5214408250165287,0.47247315752542085
A,0.3619898541785108,46+,Male,Low,0.5346552803631572,0.43896437870429206
B,0.3796617560644846,36-45,Female,Medium,0.5088220777638612,0.5245929901176345
A,0.5444452301103382,18-25,Female,Low,0.48164860804583387,0.5426109840591264
B,0.5884065448939307,36-45,Female,Medium,0.458620488967564,0.5273375795488494
A,0.5467305251905907,26-35,Female,Low,0.5043071941523187,0.6226233767235373
A,0.34325578999601236,18-25,Female,High,0.44639304940071967,0.5663372382301161
A,0.5410879960487212,26-35,Male,Medium,0.35393247582526965,0.5650237179805415
A,0.4195530499495147,26-35,Male,Medium,0.5218279902078834,0.5811103572021702
B,0.6169672548830039,36-45,Female,Low,0.5451967420543098,0.4930583441109616
B,0.5866598246096849,26-35,Female,Low,0.3818533782229081,0.6019555893710135
A,0.4560120213672645,36-45,Male,Medium,0.4495134647645031,0.546211785673227
A,0.49861330826633066,18-25,Male,Low,0.5309577130502598,0.5835240308620606
B,0.4440786478111049,36-45,Male,Medium,0.6028747734855849,0.49640713834799227
A,0.5437320902726829,18-25,Male,High,0.5010396853837704,0.4723120616991968
A,0.6455142320501239,36-45,Female,Low,0.4635998529385433,0.5908944829012515
A,0.45142739536644566,46+,Female,Medium,0.49085517794475797,0.5688204763048759
B,0.6004046515517845,46+,Male,High,0.5687438209574093,0.5048974222821245
B,0.496974238162756,26-35,Female,High,0.46770179104377324,0.5065168459362653
B,0.47071271677376564,36-45,Male,Medium,0.46004039966748733,0.6062717392207385
A,0.5392969640045443,36-45,Female,Low,0.4758628238908984,0.49052940535663364
A,0.44647576775806264,18-25,Male,Medium,0.4523335695870644,0.6321336476627982
B,0.49463506946528185,26-35,Female,High,0.5061335157997398,0.5049689632676067
B,0.4302122107411152,36-45,Male,Medium,0.581233922923478,0.5819195962804192
B,0.746472513291639,26-35,Male,Low,0.5161539636558015,0.5335690762125508
B,0.5535263551971729,46+,Female,High,0.4873823248936856,0.5801593715541172
A,0.4800274492007415,36-45,Male,Medium,0.4854094365542228,0.5227942998942904
B,0.5713979910734223,36-45,Female,Low,0.42184045956516714,0.5418603546963854
A,0.5387671950309171,26-35,Female,High,0.544155488857358,0.5520459587697861
B,0.5279030400466778,36-45,Male,Low,0.4961081401493599,0.4998906272109264
A,0.6114166700043425,26-35,Female,High,0.49097600432046873,0.5870412172710063
B,0.6257507710047305,36-45,Female,Medium,0.6596553783922431,0.5243393216764208
B,0.4969498852389473,18-25,Female,Low,0.5149376454182844,0.5385700042329992
B,0.49241817593553205,26-35,Female,High,0.4624104474952408,0.5002825312695744
B,0.5224948302848357,36-45,Female,Low,0.47868212018972284,0.4218833170602345
A,0.3198078835264415,46+,Male,Low,0.5574222854598377,0.5404486118699916
B,0.39848089378014484,36-45,Female,Medium,0.5056635205268882,0.6706307710806458
A,0.6866874267444525,46+,Female,Low,0.42808610108413164,0.5892302143949012
A,0.7144967713501285,46+,Female,High,0.5459614467287601,0.5490369810132804
A,0.5250963960443622,18-25,Female,High,0.4665927957230503,0.5368554585395866
A,0.6076556963055767,26-35,Female,High,0.5936648888108773,0.5511232946406024
B,0.5811250154543537,36-45,Male,High,0.5540024032857325,0.5773559557587605
A,0.8578880808455238,18-25,Female,Medium,0.47763390521706245,0.4909593592345578
A,0.6619574911434577,36-45,Male,Low,0.5640508180867556,0.6057160847334436
A,0.5372082408519234,46+,Male,Medium,0.5033927755263702,0.5857690657720622
B,0.45444595593995746,26-35,Male,Low,0.542638683756111,0.5859092862853967
B,0.38935536797424275,36-45,Male,Low,0.5242366408647238,0.5719237869404864
B,0.5703463635867223,36-45,Female,Low,0.4576821672504563,0.5509808328846996
B,0.4743649254715697,46+,Male,Medium,0.4678225083841269,0.583643061798341
A,0.40777462904023265,36-45,Male,Low,0.5514980408790581,0.5795907066870689
A,0.4853427115757474,36-45,Female,Medium,0.483261233394673,0.5322979644529489
B,0.44184519963856056,46+,Female,High,0.47981757683790016,0.521319911355155
A,0.7187141635072565,18-25,Female,High,0.45224387103253233,0.5550928147630994
A,0.6381639756949451,46+,Male,Low,0.521179953279673,0.6274510075747595
A,0.5492027358683383,18-25,Female,Medium,0.6031262459621572,0.488044646217305
B,0.6979944138890026,26-35,Female,High,0.44662335428728633,0.476623736712378
B,0.5577368307647619,18-25,Male,Medium,0.5012109728336379,0.5582380420618259
A,0.46387157986717364,18-25,Female,Medium,0.5706110277707714,0.5525443850928009
B,0.7023124077269658,26-35,Female,Low,0.49601793043771425,0.5586670832185204
B,0.6038910043684659,18-25,Female,High,0.5226185898124867,0.562197659895425
B,0.4462753845673544,46+,Female,Low,0.446880323592656,0.5388398872682598
B,0.5309661321916392,18-25,Male,Low,0.5214153548603824,0.6244931719301041
B,0.4624381746615243,26-35,Female,High,0.4906427867497726,0.46995480107617427
A,0.41172002690356646,46+,Female,High,0.5492864997839931,0.5085751487609877
B,0.6426177547531642,26-35,Male,Medium,0.5593693025782376,0.5448372619925477
A,0.7409416640470131,26-35,Female,High,0.6294781821009308,0.4678405594422917
A,0.4101432426180859,36-45,Male,Medium,0.5289816586606788,0.5412072797783964
B,0.6062969236690572,36-45,Female,Medium,0.5162898158291083,0.633073508286401
A,0.48493574308781734,26-35,Male,Medium,0.5097192150788667,0.5510443244147981
A,0.5012874616235304,26-35,Male,High,0.4823416853594656,0.5615350452859342
A,0.4907606075761131,26-35,Male,Low,0.5169241921730846,0.48699176174137104
B,0.46360092303201844,36-45,Male,Medium,0.48522992949304855,0.5191819295980262
B,0.5548521627944828,36-45,Female,Low,0.5084230488134807,0.5312401809838032
A,0.46690498835889627,18-25,Male,Low,0.565879876780398,0.5341142451621883
B,0.5770456825779839,18-25,Female,High,0.44967287173601794,0.6140821897501885
B,0.5449761890550864,26-35,Male,Low,0.5569939280564523,0.5778845530362563
B,0.5261051953133591,46+,Male,Low,0.5658557533669932,0.49442710215314845
B,0.45924363379584027,46+,Male,High,0.49409657365044607,0.5623252389216002
A,0.49232286694316674,36-45,Female,Medium,0.39390725504957025,0.5749110874248393
A,0.6255391225825757,36-45,Male,Low,0.4696089006452784,0.6070074519260633
B,0.6000917187624382,36-45,Female,High,0.5648497273280555,0.6290270343284188
B,0.4522444755201449,26-35,Female,Low,0.4988565968850559,0.4992452904086066
A,0.5599332305429227,46+,Female,Low,0.45003488838525446,0.5094571244394831
A,0.625138712337179,18-25,Female,Medium,0.47476125393858915,0.48712110705426925
B,0.3830594718878628,26-35,Female,Low,0.5420310013252276,0.538299007044651
A,0.6043360192379935,18-25,Female,High,0.5273366784100689,0.5733179187223167
B,0.4837376241054154,18-25,Female,Low,0.4880533950415153,0.5993667258294552
B,0.607059866859316,26-35,Female,Medium,0.4816587794092656,0.5462024488178739
A,0.47367408434574837,18-25,Female,Medium,0.4804120925478089,0.5340076238372579
A,0.36951178993354816,46+,Male,High,0.4538794907750749,0.557587899612437
B,0.3872457562116838,18-25,Male,Medium,0.5807687844734721,0.5082428549184989
B,0.5548084946661382,46+,Male,Low,0.483883976539433,0.6544769360847387
A,0.5759722501721483,46+,Male,Medium,0.5608579260412748,0.4696169486440971
B,0.45956833748955916,46+,Male,High,0.5760658025961226,0.5592370289447862
A,0.6138592458777374,36-45,Female,Medium,0.549915544907398,0.651180310961482
B,0.3838479937731041,18-25,Female,Medium,0.4784189843640976,0.5503399922279999
A,0.5433920201352684,26-35,Female,Medium,0.5201865045168305,0.5404980482499253
A,0.42889838002375436,26-35,Female,High,0.49879021968045417,0.5321277288594787
A,0.4848163892197841,18-25,Female,Medium,0.4548149069634936,0.5409804159118796
B,0.5547398671316415,36-45,Female,Medium,0.5162179640860801,0.6186424237338266
B,0.4639586634716048,36-45,Female,Low,0.44104801044200986,0.4394069044335247
A,0.5115444455770175,46+,Male,High,0.5593839694230782,0.6266716850648163
B,0.6506292809214441,18-25,Male,Medium,0.47676913513508035,0.4788021423774928
A,0.49231081304768515,18-25,Male,High,0.510057982793642,0.5366673835382793
A,0.6335692112065142,26-35,Male,Medium,0.5141643935773071,0.5285377789850669
B,0.4370293145342382,18-25,Female,Medium,0.48705475131479614,0.579427663488536
B,0.6029804177915283,36-45,Female,Medium,0.5293346900737638,0.4700937824058127
A,0.6941568620657901,18-25,Female,Low,0.4762548171688738,0.5731086333040972
B,0.30283554998727114,26-35,Male,Low,0.5435648648728622,0.6512154811643427
B,0.4703104744529524,46+,Female,Low,0.4327010159876626,0.4818412997703595
A,0.6077072127180541,26-35,Female,High,0.5063189789773206,0.5594853083805198
A,0.5296954613957008,26-35,Female,High,0.5969464499529142,0.5169008911101696
B,0.587114587337131,46+,Male,Low,0.4499834337697213,0.5712943603096519
